最好的一次組合是第443次 0.0005	30	64	1024	1024	0.3	0.95	0	0.99	1228795.066
alpha,n_epochs,batch_size,layer1_size,layer2_size,policy_clip,gamma,entropy,gae_lambda,final_reward
0.0001,10,64,256,256,0.1,0.95,0.0,0.95,1020343.40986714
0.0001,10,64,256,256,0.1,0.95,0.0,0.99,970141.8112122396
0.0001,10,64,256,256,0.1,0.95,0.01,0.95,1035199.7061939094
0.0001,10,64,256,256,0.1,0.95,0.01,0.99,1081390.4161854598
0.0001,10,64,256,256,0.1,0.995,0.0,0.95,1129833.5827895808
0.0001,10,64,256,256,0.1,0.995,0.0,0.99,1017746.19958176
0.0001,10,64,256,256,0.1,0.995,0.01,0.95,1008173.2701907798
0.0001,10,64,256,256,0.1,0.995,0.01,0.99,1060688.834481099
0.0001,10,64,256,256,0.3,0.95,0.0,0.95,1137827.6850755
0.0001,10,64,256,256,0.3,0.95,0.0,0.99,1032336.6934078999
0.0001,10,64,256,256,0.3,0.95,0.01,0.95,1124560.4558338318
0.0001,10,64,256,256,0.3,0.95,0.01,0.99,1095159.6274599296
0.0001,10,64,256,256,0.3,0.995,0.0,0.95,1077571.04164901
0.0001,10,64,256,256,0.3,0.995,0.0,0.99,1113629.60872586
0.0001,10,64,256,256,0.3,0.995,0.01,0.95,1074536.7825636999
0.0001,10,64,256,256,0.3,0.995,0.01,0.99,1077822.6869683403
0.0001,10,64,256,1024,0.1,0.95,0.0,0.95,1092469.6743993706
0.0001,10,64,256,1024,0.1,0.95,0.0,0.99,1059439.2331609
0.0001,10,64,256,1024,0.1,0.95,0.01,0.95,1094774.3178284792
0.0001,10,64,256,1024,0.1,0.95,0.01,0.99,986542.4487098614
0.0001,10,64,256,1024,0.1,0.995,0.0,0.95,1055638.2719743801
0.0001,10,64,256,1024,0.1,0.995,0.0,0.99,1040742.60708824
0.0001,10,64,256,1024,0.1,0.995,0.01,0.95,1095105.5767628704
0.0001,10,64,256,1024,0.1,0.995,0.01,0.99,1103604.7863673796
0.0001,10,64,256,1024,0.3,0.95,0.0,0.95,1086421.9048631503
0.0001,10,64,256,1024,0.3,0.95,0.0,0.99,1065819.53556381
0.0001,10,64,256,1024,0.3,0.95,0.01,0.95,1158132.2632335592
0.0001,10,64,256,1024,0.3,0.95,0.01,0.99,1056428.0148030105
0.0001,10,64,256,1024,0.3,0.995,0.0,0.95,1082867.2959284298
0.0001,10,64,256,1024,0.3,0.995,0.0,0.99,1084848.7310389401
0.0001,10,64,256,1024,0.3,0.995,0.01,0.95,1145757.374090801
0.0001,10,64,256,1024,0.3,0.995,0.01,0.99,1052502.673946362
0.0001,10,64,1024,256,0.1,0.95,0.0,0.95,1085220.4120682608
0.0001,10,64,1024,256,0.1,0.95,0.0,0.99,1042858.52167222
0.0001,10,64,1024,256,0.1,0.95,0.01,0.95,1074973.5732684012
0.0001,10,64,1024,256,0.1,0.95,0.01,0.99,1137935.0486825001
0.0001,10,64,1024,256,0.1,0.995,0.0,0.95,1105057.2823398495
0.0001,10,64,1024,256,0.1,0.995,0.0,0.99,1081616.0396343204
0.0001,10,64,1024,256,0.1,0.995,0.01,0.95,1127502.2921917175
0.0001,10,64,1024,256,0.1,0.995,0.01,0.99,1072621.76545471
0.0001,10,64,1024,256,0.3,0.95,0.0,0.95,1036766.4805252708
0.0001,10,64,1024,256,0.3,0.95,0.0,0.99,1031494.328586149
0.0001,10,64,1024,256,0.3,0.95,0.01,0.95,1134795.3763663
0.0001,10,64,1024,256,0.3,0.95,0.01,0.99,1004185.91423222
0.0001,10,64,1024,256,0.3,0.995,0.0,0.95,1062166.1960495003
0.0001,10,64,1024,256,0.3,0.995,0.0,0.99,1112835.5585685493
0.0001,10,64,1024,256,0.3,0.995,0.01,0.95,1075784.949899809
0.0001,10,64,1024,256,0.3,0.995,0.01,0.99,1090738.173826811
0.0001,10,64,1024,1024,0.1,0.95,0.0,0.95,1067348.15586469
0.0001,10,64,1024,1024,0.1,0.95,0.0,0.99,1125812.752725211
0.0001,10,64,1024,1024,0.1,0.95,0.01,0.95,962325.5493801794
0.0001,10,64,1024,1024,0.1,0.95,0.01,0.99,983648.7970836895
0.0001,10,64,1024,1024,0.1,0.995,0.0,0.95,1054413.99628031
0.0001,10,64,1024,1024,0.1,0.995,0.0,0.99,1038909.4457109902
0.0001,10,64,1024,1024,0.1,0.995,0.01,0.95,1083322.2954763393
0.0001,10,64,1024,1024,0.1,0.995,0.01,0.99,1151556.1656793403
0.0001,10,64,1024,1024,0.3,0.95,0.0,0.95,1144883.9190011497
0.0001,10,64,1024,1024,0.3,0.95,0.0,0.99,1040800.3606998008
0.0001,10,64,1024,1024,0.3,0.95,0.01,0.95,1035559.2193373303
0.0001,10,64,1024,1024,0.3,0.95,0.01,0.99,912982.6492178382
0.0001,10,64,1024,1024,0.3,0.995,0.0,0.95,1059745.8843588803
0.0001,10,64,1024,1024,0.3,0.995,0.0,0.99,1073891.3702915506
0.0001,10,64,1024,1024,0.3,0.995,0.01,0.95,1047188.2953525812
0.0001,10,64,1024,1024,0.3,0.995,0.01,0.99,1065237.1027304903
0.0001,10,256,256,256,0.1,0.95,0.0,0.95,1087258.9688658705
0.0001,10,256,256,256,0.1,0.95,0.0,0.99,1088474.2532814294
0.0001,10,256,256,256,0.1,0.95,0.01,0.95,1053764.4856372203
0.0001,10,256,256,256,0.1,0.95,0.01,0.99,976689.72067394
0.0001,10,256,256,256,0.1,0.995,0.0,0.95,1074341.2346299696
0.0001,10,256,256,256,0.1,0.995,0.0,0.99,1103030.3455846994
0.0001,10,256,256,256,0.1,0.995,0.01,0.95,1020338.2834882895
0.0001,10,256,256,256,0.1,0.995,0.01,0.99,1078077.8008538107
0.0001,10,256,256,256,0.3,0.95,0.0,0.95,1052421.2030726902
0.0001,10,256,256,256,0.3,0.95,0.0,0.99,1052610.7625534006
0.0001,10,256,256,256,0.3,0.95,0.01,0.95,1146570.2506607804
0.0001,10,256,256,256,0.3,0.95,0.01,0.99,1144281.6030858902
0.0001,10,256,256,256,0.3,0.995,0.0,0.95,1048141.8739481603
0.0001,10,256,256,256,0.3,0.995,0.0,0.99,1090915.3567863402
